,EQO,Vanish_percent
230,0,35.21440129
231,1,-93.06220096
232,0,-71.09250399
233,1,-16.62679426
234,0,-16.62679426
235,1,21.6828479
236,1,62.39886731
237,1,18.30501618
238,0,55.42071197
239,1,28.84304207
240,0,21.23786408
241,0,39.5631068
242,1,0
243,0,5.501618123
244,0,59.00080906
245,0,20.99514563
246,0,39.17880259
247,1,47.3907767
248,1,0
249,0,58.61650485
250,1,50.08090615
251,1,0
252,0,85.55825243
253,0,84.12216828
254,0,-92.10526316
255,1,14.17880259
256,0,56.97815534
257,1,39.88673139
258,0,87.3381877
259,0,9.607605178
260,0,18.30501618
261,1,-76.03668262
262,0,0
263,0,72.91666667
264,0,21.197411
265,0,0
266,0,98.13915858
267,0,98.78640777
268,0,60.51779935
269,1,48.24029126
270,1,27.0631068
271,1,42.75889968
272,0,23.68527508
273,0,20.99514563
274,1,-16.62679426
275,0,72.16828479
276,1,-93.38118022
277,0,-99.76076555
278,0,-71.09250399
279,0,-16.62679426
280,1,0
281,0,-83.25358852
282,0,0
283,0,0
284,1,0
285,0,60.052589
286,1,15.14967638
287,0,47.3907767
288,1,75.58656958
289,0,9.607605178
290,1,84.80987055
291,1,78.27669903
292,0,0
293,0,0
294,0,-77.67145136
295,1,0
296,0,97.04692557
297,0,73.60436893
298,0,75.80906149
299,0,93.28478964
300,1,55.42071197
301,0,0
302,1,0
303,1,1.051779935
304,1,0
305,0,30.96682848
306,0,0
307,0,50.08090615
308,0,71.197411
309,1,87.84385113
310,1,9.607605178
311,0,44.66019417
312,1,46.25809061
313,0,-16.62679426
314,1,-74.16267943
315,0,30.96682848
316,1,69.19498382
317,1,0
318,0,87.41909385
319,0,97.9368932
320,0,0
321,0,20.71197411
322,0,88.22815534
323,0,-63.55661882
324,0,75.84951456
325,1,-73.16586922
326,1,-97.84688995
327,0,90.29126214
328,1,13.87540453
329,1,62.52022654
330,0,2.973300971
331,0,-92.18500797
332,0,51.45631068
333,1,58.37378641
334,0,94.17475728
335,0,-68.97926635
336,1,57.60517799
337,1,1.152912621
338,1,0
339,1,-16.62679426
340,1,73.50323625
341,1,-16.62679426
342,1,0
343,0,-48.0861244
344,0,69.70064725
345,0,39.48220065
346,0,89.13834951
347,0,95.02427184
348,0,96.72330097
349,0,98.94822006
350,1,92.51618123
351,1,87.58090615
352,0,37.68203883
353,1,14.48220065
354,0,96.88511327
355,0,81.25
356,0,9.607605178
357,0,0
358,0,69.57928803
359,1,26.13268608
360,0,30.96682848
361,0,78.94417476
362,0,-48.0861244
363,1,20.63106796
364,0,48.50323625
365,0,89.52265372
366,1,0
367,0,89.48220065
368,0,56.43203883
369,1,87.74271845
370,0,9.607605178
371,1,66.44417476
372,0,-77.67145136
373,1,89.13834951
374,0,51.65857605
375,0,0
376,0,86.40776699
377,1,0.910194175
378,1,9.607605178
379,0,86.91343042
380,0,-200
381,1,15.14967638
382,1,-200
383,0,2.973300971
384,0,-16.62679426
385,0,40.00809061
386,1,14.36084142
387,0,-16.62679426
388,0,-16.62679426
389,0,-16.62679426
390,0,-81.57894737
391,0,-200
392,0,-200
393,1,3.721682848
394,0,-48.0861244
395,0,-200
396,0,-16.62679426
397,0,-200
398,1,-200
399,0,-200
400,0,-200
401,1,97.12783172
402,0,-200
403,0,25.95064725
404,0,-74.16267943
405,1,-200
406,0,-200
407,0,26.94174757
408,1,-16.62679426
409,0,95.22653722
410,0,2.508090615
411,0,-200
412,0,-200
413,0,-200
414,0,-200
415,0,-81.93779904
416,1,-48.0861244
417,1,-16.62679426
418,1,-200
419,1,1.395631068
420,1,-200
421,0,89.58333333
422,0,-200
423,0,40.19012945
424,1,-16.62679426
425,1,-16.62679426
426,0,89.64401294
427,0,71.60194175
428,0,97.85598706
429,0,73.76618123
430,0,31.22977346
431,0,48.86731392
432,0,80.13754045
433,1,-200
434,1,-16.62679426
435,0,-48.0861244
436,1,-200
437,1,-200
438,1,-200
439,1,-16.62679426
440,0,-200
441,1,0
442,1,-16.62679426
443,1,-200
444,0,33.39401294
445,1,-48.0861244
446,1,-93.62041467
447,0,-200
448,1,-200
449,1,-16.62679426
450,0,-84.05103668
451,0,43.46682848
452,0,-68.97926635
453,1,49.31229773
454,0,26.51699029
455,1,31.59385113
456,1,0
